Bigram,Frequency
"('love', 'father')",5
"('strong', 'love')",5
"('done', 'love')",5
"('love', 'going')",5
"('love', 'man')",5
"('say', 'god')",5
"('lord', 'god')",5
"('cant', 'hope')",5
"('thank', 'chaplain')",5
"('love', 'please')",5
"('life', 'love')",5
"('give', 'everybody')",5
"('want', 'give')",5
"('love', 'momma')",5
"('thank', 'much')",5
"('sorry', 'ask')",5
"('life', 'goes')",5
"('everybody', 'know')",5
"('mercy', 'soul')",5
"('love', 'baby')",5
"('like', 'give')",5
"('forgive', 'family')",5
"('set', 'free')",5
"('god', 'mercy')",5
"('bear', 'witness')",5
"('god', 'allah')",5
"('unto', 'allah')",5
"('sister', 'love')",5
"('lord', 'shepherd')",5
"('father', 'art')",5
"('art', 'heaven')",5
"('heaven', 'hallowed')",5
"('hallowed', 'thy')",5
"('us', 'lead')",5
"('like', 'make')",5
"('ask', 'lord')",5
"('receive', 'spirit')",5
"('accept', 'apology')",5
"('family', 'hope')",5
"('bless', 'love')",5
"('everybody', 'else')",5
"('apologize', 'victims')",5
"('warden', 'want')",5
"('father', 'walsh')",5
"('like', 'said')",5
"('pray', 'ask')",5
"('confess', 'sins')",5
"('sooner', 'later')",5
"('praise', 'god')",5
"('extend', 'love')",5
"('christ', 'jesus')",5
"('pray', 'find')",4
"('peace', 'comfort')",4
"('friends', 'loved')",4
"('field', 'ministers')",4
"('take', 'life')",4
"('people', 'support')",4
"('hurt', 'caused')",4
"('caused', 'yall')",4
"('never', 'stopped')",4
"('friends', 'thank')",4
"('keep', 'fight')",4
"('love', 'forever')",4
"('got', 'say')",4
"('call', 'upon')",4
"('gives', 'peace')",4
"('understand', 'pain')",4
"('pain', 'family')",4
"('brothers', 'death')",4
"('love', 'people')",4
"('lord', 'would')",4
"('send', 'home')",4
"('could', 'never')",4
"('see', 'lord')",4
"('innocent', 'innocent')",4
"('right', 'wrong')",4
"('yall', 'going')",4
"('going', 'want')",4
"('around', 'world')",4
"('dont', 'worry')",4
"('love', 'peace')",4
"('life', 'dont')",4
"('brothers', 'love')",4
"('also', 'want')",4
"('get', 'want')",4
"('jesus', 'give')",4
"('everything', 'yall')",4
"('find', 'closure')",4
"('christ', 'lord')",4
"('get', 'right')",4
"('know', 'one')",4
"('pray', 'god')",4
"('hope', 'see')",4
"('go', 'yes')",4
"('people', 'helped')",4
"('leave', 'world')",4
"('world', 'better')",4
"('life', 'want')",4
"('suffering', 'caused')",4
"('tell', 'yall')",4
"('said', 'love')",4
"('glad', 'yall')",4
"('im', 'glad')",4
