Bigram,Frequency
"('robbed', 'sexually')",4
"('scene', 'victims')",4
"('vehicle', 'convicted')",4
"('pants', 'pocket')",4
"('private', 'residence')",4
"('car', 'wash')",4
"('two', 'women')",4
"('fled', 'victims')",4
"('following', 'day')",4
"('car', 'keys')",4
"('fort', 'bend')",4
"('later', 'gave')",4
"('voluntary', 'statement')",4
"('twice', 'chest')",4
"('beaten', 'strangled')",4
"('fled', 'foot')",4
"('later', 'arrested')",4
"('sentence', 'murder')",4
"('robbed', 'shot')",4
"('way', 'inside')",4
"('times', 'chest')",4
"('multiple', 'stab')",4
"('parents', 'home')",4
"('front', 'door')",4
"('survived', 'wounds')",4
"('convicted', 'rape')",4
"('young', 'girl')",4
"('convicted', 'connection')",4
"('mobile', 'home')",4
"('millimeter', 'pistol')",4
"('sexually', 'assaulting')",4
"('home', 'later')",4
"('later', 'confessed')",4
"('convicted', 'slaying')",4
"('killed', 'inside')",4
"('disposition', 'immediately')",4
"('immediately', 'known')",4
"('several', 'hours')",4
"('bodies', 'found')",4
"('head', 'blunt')",4
"('road', 'near')",4
"('stolen', 'car')",4
"('set', 'afire')",4
"('murder', 'sentenced')",4
"('murder', 'june')",4
"('assaulted', 'stabbed')",4
"('written', 'confession')",4
"('three', 'accomplices')",4
"('pistol', 'demanded')",4
"('sexual', 'assault')",4
"('vehicle', 'driving')",4
"('also', 'charged')",4
"('northwest', 'houston')",4
"('behind', 'back')",4
"('day', 'convicted')",4
"('yearold', 'john')",4
"('throat', 'cut')",4
"('saying', 'killed')",4
"('time', 'murder')",4
"('getaway', 'car')",4
"('crime', 'spree')",4
"('sentence', 'aggravated')",4
"('bm', 'dob')",4
"('september', 'shooting')",4
"('district', 'attorney')",4
"('attempted', 'flee')",4
"('house', 'fire')",4
"('killing', 'yearold')",4
"('wedding', 'ring')",4
"('blunt', 'instrument')",4
"('fingerprints', 'found')",4
"('blue', 'jeans')",4
"('robbery', 'houston')",4
"('crime', 'summary')",4
"('arrested', 'five')",4
"('arrested', 'two')",4
"('beaten', 'stabbed')",4
"('gave', 'written')",4
"('arrested', 'shortly')",4
"('short', 'time')",4
"('time', 'later')",4
"('raped', 'strangled')",4
"('later', 'identified')",4
"('february', 'shooting')",4
"('december', 'shooting')",4
"('died', 'multiple')",4
"('food', 'store')",4
"('weapon', 'found')",4
"('chest', 'caliber')",4
"('armed', 'robbery')",4
"('also', 'found')",4
"('apartment', 'block')",4
"('raped', 'sodomized')",4
"('court', 'criminal')",4
"('criminal', 'appeals')",4
"('yearold', 'david')",4
"('abduction', 'slaying')",4
"('twice', 'head')",4
"('shot', 'denson')",4
"('inside', 'houston')",3
"('houston', 'home')",3
"('victim', 'resulting')",3
"('death', 'july')",3
"('took', 'jewelry')",3
"('vehicle', 'victims')",3
"('paso', 'texas')",3
"('slaving', 'yearold')",3
"('knife', 'stabbed')",3
"('cash', 'fled')",3
"('used', 'victims')",3
"('victims', 'credit')",3
"('months', 'pregnant')",3
"('months', 'later')",3
"('female', 'yearold')",3
"('car', 'shot')",3
"('including', 'two')",3
"('two', 'witnesses')",3
"('money', 'victims')",3
"('yearold', 'male')",3
"('home', 'yearold')",3
"('intent', 'rob')",3
"('rob', 'victim')",3
"('female', 'two')",3
"('millimeter', 'handgun')",3
"('subject', 'shot')",3
"('victim', 'back')",3
"('estranged', 'wife')",3
"('texas', 'garcia')",3
"('blunt', 'force')",3
"('codefendant', 'took')",3
"('victim', 'residence')",3
"('dumped', 'body')",3
"('five', 'year')",3
"('old', 'asian')",3
"('asian', 'male')",3
"('opened', 'fire')",3
"('shots', 'fired')",3
"('death', 'adult')",3
"('death', 'victims')",3
"('body', 'behind')",3
"('male', 'apartment')",3
"('convicted', 'deaths')",3
"('home', 'police')",3
"('police', 'discovered')",3
"('michael', 'rodriguez')",3
"('insurance', 'policies')",3
"('entered', 'restaurant')",3
"('shot', 'multiple')",3
"('returned', 'residence')",3
"('clerk', 'shot')",3
"('early', 'morning')",3
"('wharton', 'county')",3
"('game', 'warden')",3
"('began', 'shooting')",3
"('hospital', 'houston')",3
"('pronounced', 'dead')",3
"('upon', 'arrival')",3
"('old', 'year')",3
"('officer', 'died')",3
"('took', 'cash')",3
"('gas', 'station')",3
"('shot', 'hispanic')",3
"('death', 'san')",3
"('severely', 'beaten')",3
"('robbed', 'sporting')",3
"('sporting', 'goods')",3
"('goods', 'store')",3
"('gunpoint', 'irving')",3
"('irving', 'police')",3
"('officer', 'murdered')",3
"('murdered', 'outside')",3
"('codefendants', 'took')",3
"('times', 'year')",3
"('residence', 'occupied')",3
"('stabbed', 'multiple')",3
"('victim', 'told')",3
"('baseball', 'bat')",3
"('responsible', 'death')",3
"('robbery', 'victim')",3
"('kidnapped', 'year')",3
"('death', 'houston')",3
"('officer', 'gaddis')",3
"('southwest', 'houston')",3
"('later', 'picked')",3
"('codefendant', 'murdered')",3
"('chest', 'knife')",3
"('knife', 'victims')",3
"('another', 'male')",3
"('robbed', 'victim')",3
"('money', 'fled')",3
"('later', 'discovered')",3
"('found', 'car')",3
"('second', 'victim')",3
"('stabbed', 'numerous')",3
"('port', 'arthur')",3
"('raped', 'year')",3
"('driving', 'stolen')",3
"('car', 'radio')",3
"('hispanic', 'males')",3
"('get', 'car')",3
"('codefendant', 'abducted')",3
"('assaulted', 'shot')",3
"('female', 'victims')",3
"('navarro', 'county')",3
"('call', 'police')",3
"('victims', 'died')",3
"('assaulted', 'murdered')",3
"('shallow', 'grave')",3
"('head', 'tire')",3
"('residence', 'killed')",3
"('also', 'sexually')",3
"('female', 'resulting')",3
"('foot', 'convicted')",3
"('deserted', 'area')",3
"('area', 'shot')",3
"('personal', 'items')",3
"('male', 'shot')",3
"('outside', 'residence')",3
"('rivas', 'codefendants')",3
"('strangled', 'victim')",3
"('female', 'wife')",3
"('victim', 'death')",3
"('law', 'enforcement')",3
"('store', 'employee')",3
"('robbery', 'convicted')",3
"('bend', 'county')",3
"('victims', 'yearold')",3
"('turned', 'gun')",3
"('shot', 'four')",3
"('abducted', 'yearold')",3
"('location', 'shot')",3
"('jennifer', 'ertman')",3
"('elizabeth', 'pena')",3
"('body', 'dumped')",3
"('repeatedly', 'head')",3
"('died', 'two')",3
"('motel', 'room')",3
"('hit', 'several')",3
"('times', 'knife')",3
"('shot', 'five')",3
